C,alpha/C,digit/C,whitespace/C,spe_ch/C,W,short words/W,avg_W_len,unique_W/W,class
110,0.754545455,0,0.172727273,0.072727273,20,0.75,4.55,1,ham
29,0.620689655,0,0.172413793,0.206896552,6,0.666666667,4,1,ham
155,0.625806452,0.161290323,0.174193548,0.038709677,28,0.714285714,4.571428571,0.857142857,spam
49,0.673469388,0,0.204081633,0.12244898,11,0.636363636,3.545454545,0.909090909,ham
60,0.783333333,0,0.2,0.016666667,13,0.692307692,3.692307692,0.923076923,ham
147,0.700680272,0.027210884,0.210884354,0.06122449,32,0.78125,3.625,0.96875,spam
77,0.779220779,0,0.194805195,0.025974026,16,0.75,3.875,0.9375,ham
160,0.8,0.00625,0.15625,0.0375,26,0.846153846,5.192307692,0.846153846,ham
158,0.670886076,0.120253165,0.158227848,0.050632911,26,0.807692308,5.115384615,0.923076923,spam
154,0.720779221,0.084415584,0.181818182,0.012987013,29,0.724137931,4.344827586,0.862068966,spam
108,0.768518519,0,0.185185185,0.046296296,21,0.80952381,4.19047619,1,ham
133,0.609022556,0.165413534,0.187969925,0.037593985,26,0.807692308,4.153846154,0.923076923,spam
155,0.651612903,0.129032258,0.161290323,0.058064516,26,0.846153846,5,1,spam
196,0.795918367,0,0.183673469,0.020408163,37,0.837837838,4.324324324,0.837837838,ham
35,0.742857143,0,0.2,0.057142857,8,0.625,3.5,1,ham
148,0.810810811,0,0.121621622,0.067567568,19,0.842105263,6.842105263,0.894736842,spam
26,0.653846154,0,0.115384615,0.230769231,4,0.75,5.75,1,ham
81,0.703703704,0.012345679,0.222222222,0.061728395,19,0.578947368,3.315789474,0.894736842,ham
58,0.706896552,0,0.206896552,0.086206897,13,0.769230769,3.538461538,0.769230769,ham
155,0.64516129,0.148387097,0.148387097,0.058064516,24,0.75,5.5,0.875,spam
41,0.804878049,0,0.170731707,0.024390244,8,0.875,4.25,1,ham
49,0.714285714,0.020408163,0.204081633,0.06122449,11,0.636363636,3.545454545,0.909090909,ham
53,0.660377358,0,0.188679245,0.150943396,11,0.636363636,3.909090909,1,ham
88,0.738636364,0.011363636,0.215909091,0.034090909,20,0.65,3.45,0.8,ham
57,0.789473684,0,0.175438596,0.035087719,11,0.727272727,4.272727273,1,ham
144,0.763888889,0,0.1875,0.048611111,28,0.821428571,4.178571429,0.964285714,ham
30,0.833333333,0,0.133333333,0.033333333,5,0.8,5.2,1,ham
134,0.723880597,0,0.231343284,0.044776119,32,0.75,3.21875,0.71875,ham
74,0.72972973,0,0.189189189,0.081081081,15,0.933333333,4,1,ham
64,0.765625,0,0.171875,0.0625,12,0.833333333,4.416666667,1,ham
129,0.782945736,0,0.19379845,0.023255814,26,0.807692308,4,0.884615385,ham
