C,alpha/C,digit/C,whitespace/C,spe_ch/C,W,short_words/W,avg_W_len,unique_W/W,spam_W_match,class
110,0.754545455,0,0.172727273,0.072727273,20,0.25,4.55,1,0,0
29,0.620689655,0,0.172413793,0.206896552,6,0.333333333,4,1,0,0
155,0.625806452,0.161290323,0.174193548,0.038709677,28,0.285714286,4.571428571,0.857142857,1,1
49,0.673469388,0,0.204081633,0.12244898,11,0.363636364,3.545454545,0.909090909,0,0
60,0.783333333,0,0.2,0.016666667,13,0.307692308,3.692307692,0.923076923,0,0
150,0.72,0.026666667,0.206666667,0.046666667,32,0.21875,3.71875,0.96875,1,1
77,0.779220779,0,0.194805195,0.025974026,16,0.25,3.875,0.9375,0,0
160,0.8,0.00625,0.15625,0.0375,26,0.153846154,5.192307692,0.846153846,0,0
161,0.689440994,0.118012422,0.155279503,0.037267081,26,0.192307692,5.230769231,0.923076923,1,1
154,0.720779221,0.084415584,0.181818182,0.012987013,29,0.275862069,4.344827586,0.862068966,1,1
108,0.768518519,0,0.185185185,0.046296296,21,0.19047619,4.19047619,1,0,0
133,0.609022556,0.165413534,0.187969925,0.037593985,26,0.192307692,4.153846154,0.923076923,0,1
158,0.670886076,0.126582278,0.158227848,0.044303797,26,0.153846154,5.115384615,1,1,1
196,0.795918367,0,0.183673469,0.020408163,37,0.162162162,4.324324324,0.837837838,0,0
35,0.742857143,0,0.2,0.057142857,8,0.375,3.5,1,0,0
148,0.810810811,0,0.121621622,0.067567568,19,0.157894737,6.842105263,0.894736842,1,1
33,0.696969697,0,0.181818182,0.181818182,7,0.428571429,4.142857143,0.714285714,0,0
81,0.703703704,0.012345679,0.222222222,0.061728395,19,0.421052632,3.315789474,0.894736842,0,0
58,0.706896552,0,0.206896552,0.086206897,13,0.230769231,3.538461538,0.769230769,0,0
155,0.64516129,0.148387097,0.148387097,0.058064516,24,0.25,5.5,0.875,0,1
41,0.804878049,0,0.170731707,0.024390244,8,0.125,4.25,1,0,0
49,0.714285714,0.020408163,0.204081633,0.06122449,11,0.363636364,3.545454545,0.909090909,0,0
53,0.660377358,0,0.188679245,0.150943396,11,0.363636364,3.909090909,1,0,0
88,0.738636364,0.011363636,0.215909091,0.034090909,20,0.35,3.45,0.8,0,0
57,0.789473684,0,0.175438596,0.035087719,11,0.272727273,4.272727273,1,0,0
144,0.763888889,0,0.1875,0.048611111,28,0.178571429,4.178571429,0.964285714,0,0
30,0.833333333,0,0.133333333,0.033333333,5,0.2,5.2,1,0,0
134,0.723880597,0,0.231343284,0.044776119,32,0.25,3.21875,0.71875,0,0
74,0.72972973,0,0.189189189,0.081081081,15,0.066666667,4,1,0,0
64,0.765625,0,0.171875,0.0625,12,0.166666667,4.416666667,1,0,0
129,0.782945736,0,0.19379845,0.023255814,26,0.192307692,4,0.884615385,0,0
188,0.739361702,0.010638298,0.212765957,0.037234043,41,0.292682927,3.609756098,0.853658537,0,0
29,0.793103448,0,0.172413793,0.034482759,6,0.333333333,4,1,0,0
84,0.797619048,0,0.19047619,0.011904762,17,0.176470588,4,0.941176471,0,0
162,0.808641975,0.00617284,0.172839506,0.012345679,29,0.275862069,4.620689655,0.827586207,1,1
123,0.699186992,0.016260163,0.219512195,0.06504065,28,0.357142857,3.428571429,0.928571429,0,0
46,0.782608696,0,0.173913043,0.043478261,9,0.111111111,4.222222222,1,0,0
28,0.75,0,0.25,0,8,0.5,2.625,1,0,0
27,0.666666667,0,0.111111111,0.222222222,4,0.25,6,1,0,0
155,0.767741935,0,0.187096774,0.04516129,30,0.233333333,4.2,0.933333333,0,0
82,0.768292683,0,0.195121951,0.036585366,17,0.352941176,3.882352941,1,0,0
139,0.676258993,0,0.237410072,0.09352518,34,0.294117647,3.147058824,0.647058824,0,0
172,0.656976744,0.127906977,0.186046512,0.029069767,33,0.272727273,4.242424242,0.848484848,1,1
19,0.789473684,0,0.157894737,0.052631579,4,0,4,1,0,0
70,0.685714286,0,0.2,0.142857143,15,0.333333333,3.866666667,0.8,0,0
32,0.8125,0,0.0625,0.125,3,0.333333333,10,1,0,0
45,0.8,0,0.155555556,0.044444444,8,0.25,4.75,1,0,0
30,0.833333333,0,0.133333333,0.033333333,5,0,5.2,1,0,0
66,0.787878788,0,0.196969697,0.015151515,14,0.357142857,3.785714286,1,0,0
148,0.756756757,0,0.195945946,0.047297297,30,0.266666667,3.966666667,0.866666667,0,0
58,0.775862069,0,0.189655172,0.034482759,12,0.166666667,3.916666667,0.916666667,0,0
120,0.741666667,0,0.2,0.083333333,25,0.28,3.96,0.72,0,0
80,0.8,0,0.1875,0.0125,16,0.25,4.0625,1,0,0
290,0.762068966,0,0.186206897,0.051724138,55,0.218181818,4.290909091,0.709090909,0,0
120,0.783333333,0,0.175,0.041666667,22,0.090909091,4.5,0.954545455,0,1
75,0.76,0,0.173333333,0.08,14,0.214285714,4.5,0.928571429,0,0
157,0.624203822,0.152866242,0.165605096,0.057324841,27,0.222222222,4.851851852,1,1,1
